"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"
"2"	"mz03DrizhalovaMarie1640"	"F"	"CZ120"	"CZ"	21	61	169	1.90625
"3"	"mz04GalovaDiana1712"	"F"	"CZ120"	"CZ"	19	NA	NA	4.09375
"4"	"mz05GrenovaIva1472"	"F"	"CZ120"	"CZ"	21	56.1	165.5	3.4375
"5"	"mz06HladikovaEva1669"	"F"	"CZ120"	"CZ"	21	NA	NA	3.28125
"6"	"mz07ChlupacovaTereza1752"	"F"	"CZ120"	"CZ"	20	NA	NA	1.8125
"7"	"mz08KikerlovaSona1463"	"F"	"CZ120"	"CZ"	21	NA	NA	2.28125
"8"	"mz09KopeckaMiroslava_1804"	"F"	"CZ120"	"CZ"	23	65.2	170.5	2.3125
"9"	"mz10KralovaMonika1853"	"F"	"CZ120"	"CZ"	20	NA	NA	2.46875
"10"	"mz11KrausovaBarbora1808"	"F"	"CZ120"	"CZ"	22	73.7	165.8	1.90625
"11"	"mz12KrocovaEliska1417"	"F"	"CZ120"	"CZ"	20	61.8	171.5	3.90625
"12"	"mz13KunovaSarka1477"	"F"	"CZ120"	"CZ"	23	NA	NA	2.59375
"13"	"mz14LeszkovaIva1628"	"F"	"CZ120"	"CZ"	22	NA	NA	3.03125
"14"	"mz15LhotovaVeronika1753"	"F"	"CZ120"	"CZ"	19	NA	NA	3.53125
"15"	"mz16LukasovaVera1864"	"F"	"CZ120"	"CZ"	20	67.4	164.1	4.34375
"16"	"mz17MachovaDaniela1839"	"F"	"CZ120"	"CZ"	21	63.1	164.6	2.90625
"17"	"mz18MelounovaKlara1848"	"F"	"CZ120"	"CZ"	20	58.6	168.9	2.875
"18"	"mz19NovakovaRadka1620"	"F"	"CZ120"	"CZ"	21	NA	NA	2.90625
"19"	"mz20PolanskaNikola1860"	"F"	"CZ120"	"CZ"	20	66.2	167.4	2.09375
"20"	"mz21ProchazkovaKaterina1714"	"F"	"CZ120"	"CZ"	22	NA	NA	1.90625
"21"	"mz22RadovaMarie1849"	"F"	"CZ120"	"CZ"	21	NA	NA	3.71875
"22"	"mz23RajsiglovaLenka1852"	"F"	"CZ120"	"CZ"	21	NA	NA	2.0625
"23"	"mz24RancakovaHana1558"	"F"	"CZ120"	"CZ"	21	NA	NA	2.90625
"24"	"mz25SzabadoszovaEmilia1638"	"F"	"CZ120"	"CZ"	20	NA	NA	3.625
"25"	"mz26VaneckovaHana1406"	"F"	"CZ120"	"CZ"	21	67.7	182.4	3.0625
"26"	"mz27VavronovaKaterina1624"	"F"	"CZ120"	"CZ"	20	NA	NA	1.375
"27"	"mz28VitkovaVeronika1479"	"F"	"CZ120"	"CZ"	22	NA	NA	2.90625
"28"	"mz29VondrakovaKaterina_"	"F"	"CZ120"	"CZ"	19	68.4	161.7	2.09375
"29"	"mz30ChmelovaKristina1134"	"F"	"CZ120"	"CZ"	20	64	167	4
"0"	"1011"	"F"	"CZ16"	"CZ"	21	62.2	166.7	2.364
"1"	"1041"	"F"	"CZ16"	"CZ"	34	54.6	167.2	1.394
"2"	"1051"	"F"	"CZ16"	"CZ"	26	66.3	161.3	4
"3"	"1061"	"F"	"CZ16"	"CZ"	29	61.8	163.5	2.576
"4"	"2011"	"F"	"CZ16"	"CZ"	36	65.4	174.2	2.364
"5"	"2021"	"F"	"CZ16"	"CZ"	19	60.9	164.3	1.545
"6"	"2031"	"F"	"CZ16"	"CZ"	33	54.5	160	1.758
"7"	"2051"	"F"	"CZ16"	"CZ"	20	58.3	171.1	2.606
"8"	"3011"	"F"	"CZ16"	"CZ"	31	65.3	176	2.606
"9"	"3021"	"F"	"CZ16"	"CZ"	25	54.3	166.6	2.152
"10"	"4021"	"F"	"CZ16"	"CZ"	29	81.2	175.3	1.788
"11"	"4031"	"F"	"CZ16"	"CZ"	20	70.4	163.7	2.152
"12"	"4051"	"F"	"CZ16"	"CZ"	22	78.9	164.1	2.848
"13"	"4061"	"F"	"CZ16"	"CZ"	20	67.9	177.1	3.545
"14"	"4071"	"F"	"CZ16"	"CZ"	25	72	177.7	2.152
"15"	"4081"	"F"	"CZ16"	"CZ"	21	47.6	163.1	2.273
"16"	"4101"	"F"	"CZ16"	"CZ"	19	57.2	181.1	3.636
"17"	"4111"	"F"	"CZ16"	"CZ"	25	53.6	164.6	3.545
"18"	"4141"	"F"	"CZ16"	"CZ"	24	61.2	159.1	3.455
"19"	"4151"	"F"	"CZ16"	"CZ"	21	63.7	174	3.758
"20"	"4161"	"F"	"CZ16"	"CZ"	21	63.7	165.9	1.333
"21"	"4191"	"F"	"CZ16"	"CZ"	20	51	161.6	4.667
"22"	"4211"	"F"	"CZ16"	"CZ"	27	57	165.6	2.697
"23"	"4221"	"F"	"CZ16"	"CZ"	25	58	158.6	4
"24"	"4231"	"F"	"CZ16"	"CZ"	20	58.2	164.1	2.121
"25"	"4241"	"F"	"CZ16"	"CZ"	20	56.3	180.2	2.394
"26"	"4251"	"F"	"CZ16"	"CZ"	34	63.7	180	2.424
"27"	"5011"	"F"	"CZ16"	"CZ"	21	53.1	150.9	1.848
"28"	"5021"	"F"	"CZ16"	"CZ"	26	62.7	170.9	2.848
"29"	"5031"	"F"	"CZ16"	"CZ"	26	61.4	162	1.848
"30"	"5041"	"F"	"CZ16"	"CZ"	26	56.6	175.6	2.061
"31"	"5051"	"F"	"CZ16"	"CZ"	24	70.3	166.8	2.576
"32"	"5061"	"F"	"CZ16"	"CZ"	20	72	177.3	2.03
"33"	"5071"	"F"	"CZ16"	"CZ"	21	52	166.8	3.515
"34"	"5091"	"F"	"CZ16"	"CZ"	24	97.4	175	1.485
"35"	"5101"	"F"	"CZ16"	"CZ"	20	61.9	158.5	1.667
"36"	"5111"	"F"	"CZ16"	"CZ"	21	57.5	173.3	3.485
"37"	"5121"	"F"	"CZ16"	"CZ"	21	55.6	172.4	3.909
"38"	"5141"	"F"	"CZ16"	"CZ"	21	57	156.3	2.242
"39"	"5151"	"F"	"CZ16"	"CZ"	23	71.3	171	1.848
"40"	"5161"	"F"	"CZ16"	"CZ"	20	60.7	166.4	2
"41"	"5171"	"F"	"CZ16"	"CZ"	20	62.2	170	4.394
"42"	"5181"	"F"	"CZ16"	"CZ"	26	60.1	173.4	3.848
"43"	"5191"	"F"	"CZ16"	"CZ"	21	69.8	167.5	1.788
"44"	"5211"	"F"	"CZ16"	"CZ"	22	52.8	159	3.667
"45"	"5231"	"F"	"CZ16"	"CZ"	25	78.7	178.6	3.152
"46"	"6051"	"F"	"CZ16"	"CZ"	19	63.5	178.2	3.242
"47"	"6091"	"F"	"CZ16"	"CZ"	21	63.8	163.8	2.455
"48"	"6121"	"F"	"CZ16"	"CZ"	27	75	174.5	2.455
"49"	"6131"	"F"	"CZ16"	"CZ"	20	66.4	174.4	3.545
"0"	"hm01SubrtMartin631"	"M"	"CZ120"	"CZ"	21	61	179.5	3.875
"1"	"hm02NevarilLeonard713"	"M"	"CZ120"	"CZ"	19	66	177	2.8875
"2"	"hm03FormanMartin580"	"M"	"CZ120"	"CZ"	21	82	180.5	3.3
"3"	"hm04SimekMatous463"	"M"	"CZ120"	"CZ"	21	71.5	181.5	2.9375
"4"	"hm05PodhorskyMartin408"	"M"	"CZ120"	"CZ"	21	81.5	193	2.35
"5"	"hm06PetlachMichal549"	"M"	"CZ120"	"CZ"	19	74	187	2.1875
"6"	"hm07Falt_Lukas528_578"	"M"	"CZ120"	"CZ"	20	60	172.5	2.325
"7"	"hm08FricJan636"	"M"	"CZ120"	"CZ"	26	77	181.5	2.975
"8"	"hm09KuceraJiri411"	"M"	"CZ120"	"CZ"	19	88	176.5	1.6375
"9"	"hm10GlancMatous1728"	"M"	"CZ120"	"CZ"	21	NA	NA	4.6625
"10"	"hm11CervenkaJakub1717"	"M"	"CZ120"	"CZ"	19	NA	NA	1.925
"11"	"hm12RichterJiri1427"	"M"	"CZ120"	"CZ"	20	NA	NA	2.25
"12"	"hm13SlabyJiri1550"	"M"	"CZ120"	"CZ"	20	NA	NA	2.45
"13"	"hm14SpicakLubos1468"	"M"	"CZ120"	"CZ"	20	90.7	179.7	1.7375
"14"	"hm15UrbanPetr1643"	"M"	"CZ120"	"CZ"	19	NA	NA	2.975
"15"	"hm16HrychLukas1824"	"M"	"CZ120"	"CZ"	20	81.4	192.2	2.6125
"16"	"hm17VondracekDominik1306"	"M"	"CZ120"	"CZ"	19	NA	NA	2.5125
"17"	"hm18ZarskyVojtech1078"	"M"	"CZ120"	"CZ"	20	83	193.5	3.0375
"18"	"hm19ZitekOndrej1313"	"M"	"CZ120"	"CZ"	20	NA	NA	2.2125
"19"	"hm20ZouharPetr939"	"M"	"CZ120"	"CZ"	22	76	180.5	2.9625
"20"	"hm21Krische_Krizan1505"	"M"	"CZ120"	"CZ"	20	NA	NA	2.7375
"21"	"hm22PolakAdam1542"	"M"	"CZ120"	"CZ"	20	NA	NA	3.225
"22"	"hm23KuceraJan1613"	"M"	"CZ120"	"CZ"	20	NA	NA	3.0375
"23"	"hm24NovotnyStepan1609"	"M"	"CZ120"	"CZ"	20	NA	NA	2.275
"24"	"hm25JandaJiri1676"	"M"	"CZ120"	"CZ"	22	NA	NA	1.675
"25"	"hm26VavrinaJosef1522"	"M"	"CZ120"	"CZ"	23	NA	NA	2.975
"26"	"hm27HribJan1625"	"M"	"CZ120"	"CZ"	19	NA	NA	4
"27"	"hm28MinarikMartin1137"	"M"	"CZ120"	"CZ"	20	69	177.3	2.225
"28"	"hm29HotakZbynek230"	"M"	"CZ120"	"CZ"	21	85	187.3	2.725
"29"	"hm30BraborecVojtech1248"	"M"	"CZ120"	"CZ"	20	66	169.7	2.5625
"0"	"mm01BarakJan1840"	"M"	"CZ120"	"CZ"	21	75.4	191.5	2.7359375
"1"	"mm02MalyKarel1667"	"M"	"CZ120"	"CZ"	26	NA	NA	2.716953125
"2"	"mm03SikoraJan1511"	"M"	"CZ120"	"CZ"	27	NA	NA	2.714110677
"3"	"mm04ZikmundTomas840_1611"	"M"	"CZ120"	"CZ"	19	NA	NA	2.704345855
"4"	"mm05HejnyJan1553"	"M"	"CZ120"	"CZ"	19	NA	NA	2.700459953
"5"	"mm06SvejdaVaclav1505"	"M"	"CZ120"	"CZ"	20	NA	NA	2.706300952
"6"	"mm07BehunekMartin1517"	"M"	"CZ120"	"CZ"	23	NA	NA	2.714947634
"7"	"mm08JancaRadek1520"	"M"	"CZ120"	"CZ"	22	NA	NA	2.721446762
"8"	"mm09LevyJan1560"	"M"	"CZ120"	"CZ"	19	NA	NA	2.717220874
"9"	"mm10HerbrychJakub1552"	"M"	"CZ120"	"CZ"	23	NA	NA	2.735216222
"10"	"mm11VidenskyAles1102"	"M"	"CZ120"	"CZ"	24	71	178.5	2.703094826
"11"	"mm12KubatMilos1382"	"M"	"CZ120"	"CZ"	23	67.5	170.7	2.716063073
"12"	"mm13MatenaLukas1661"	"M"	"CZ120"	"CZ"	20	NA	NA	2.723830791
"13"	"mm14GlajcarRadek1665"	"M"	"CZ120"	"CZ"	24	NA	NA	2.728394637
"14"	"mm15SarounRadek1603"	"M"	"CZ120"	"CZ"	20	NA	NA	2.744909548
"15"	"mm16PaynePavel1403"	"M"	"CZ120"	"CZ"	24	NA	NA	2.741074707
"16"	"mm17FilipovskyJan1836"	"M"	"CZ120"	"CZ"	34	NA	NA	2.743217619
"17"	"mm18HamplPetr1503"	"M"	"CZ120"	"CZ"	24	NA	NA	2.747062913
"18"	"mm19HulaMartin1779"	"M"	"CZ120"	"CZ"	19	61	172	2.742222294
"19"	"mm20VondracekOldrich1230"	"M"	"CZ120"	"CZ"	21	74	160.4	2.751050999
"20"	"mm21DobiasJakub1066"	"M"	"CZ120"	"CZ"	22	66	182.4	2.747526849
"21"	"mm22MorkovskyLibor933"	"M"	"CZ120"	"CZ"	23	66	176	2.747693964
"22"	"mm23MartinecPavel1674"	"M"	"CZ120"	"CZ"	20	65	178	2.739738863
"23"	"mm24KovacIvan1817"	"M"	"CZ120"	"CZ"	20	70.1	185	2.734776177
"24"	"mm25MetlickaJachym1760"	"M"	"CZ120"	"CZ"	21	NA	NA	2.742439114
"25"	"mm26PacesJan1705"	"M"	"CZ120"	"CZ"	20	81.3	178.5	2.760229765
"26"	"mm27PankracJan1448"	"M"	"CZ120"	"CZ"	20	NA	NA	2.756650262
"27"	"mm28SchumaMarek1776"	"M"	"CZ120"	"CZ"	19	NA	NA	2.735927766
"28"	"mm29SvasekMilan1741"	"M"	"CZ120"	"CZ"	20	NA	NA	2.744443229
"29"	"mm30TomanJan1608"	"M"	"CZ120"	"CZ"	21	NA	NA	2.744767283
"0"	"2040"	"M"	"CZ16"	"CZ"	31	66.9	178.5	2.44944
"1"	"4042"	"M"	"CZ16"	"CZ"	28	69.9	166.7	2.10112
"2"	"4090"	"M"	"CZ16"	"CZ"	21	71.8	187.1	2.67416
"3"	"4120"	"M"	"CZ16"	"CZ"	24	75.7	181.4	1.91011
"4"	"4130"	"M"	"CZ16"	"CZ"	26	88.9	192.8	1.78652
"5"	"4170"	"M"	"CZ16"	"CZ"	24	81.3	190.9	3.20225
"6"	"4200"	"M"	"CZ16"	"CZ"	30	84.5	188	3.38202
"7"	"6060"	"M"	"CZ16"	"CZ"	29	67.7	168	2.24719
"8"	"6080"	"M"	"CZ16"	"CZ"	22	56.6	186.5	3.01124
"9"	"7040"	"M"	"CZ16"	"CZ"	20	68.8	179.4	2.38202
"10"	"7060"	"M"	"CZ16"	"CZ"	22	60.5	187.5	1.74157
"11"	"7070"	"M"	"CZ16"	"CZ"	22	60.7	174	2.46067
"12"	"7090"	"M"	"CZ16"	"CZ"	25	66.6	173.1	2.98876
"13"	"7100"	"M"	"CZ16"	"CZ"	25	76.3	183.7	3.21348
"14"	"8010"	"M"	"CZ16"	"CZ"	22	87	193.7	3.1573
"15"	"8020"	"M"	"CZ16"	"CZ"	22	87.1	189.4	2.50562
"16"	"8030"	"M"	"CZ16"	"CZ"	30	65.7	180.8	2.48315
"17"	"8040"	"M"	"CZ16"	"CZ"	32	65	180.5	2.23596
"18"	"8050"	"M"	"CZ16"	"CZ"	28	77	170.2	2.07865
"19"	"8060"	"M"	"CZ16"	"CZ"	25	75.5	176.3	4.46067
"20"	"8070"	"M"	"CZ16"	"CZ"	22	65.5	178.4	3.14607
"21"	"8080"	"M"	"CZ16"	"CZ"	26	71.6	181.6	1.55056
"22"	"8090"	"M"	"CZ16"	"CZ"	22	63.9	180.9	3.8764
"23"	"8100"	"M"	"CZ16"	"CZ"	19	66.8	182.6	2.40449
"24"	"8110"	"M"	"CZ16"	"CZ"	25	102	192.4	1.95506
"25"	"9010"	"M"	"CZ16"	"CZ"	20	67.9	172.5	2.78652
"26"	"9012"	"M"	"CZ16"	"CZ"	20	84	187.6	1.53933
"27"	"9013"	"M"	"CZ16"	"CZ"	25	77.3	183	4.8427
"28"	"9020"	"M"	"CZ16"	"CZ"	20	69.4	173.7	2.64045
"29"	"9022"	"M"	"CZ16"	"CZ"	22	73.4	181.7	2.55056
"30"	"9023"	"M"	"CZ16"	"CZ"	19	63.4	174.5	2.53933
"31"	"9030"	"M"	"CZ16"	"CZ"	29	84.4	182.6	2.61798
"32"	"9032"	"M"	"CZ16"	"CZ"	21	71.2	178.1	1.93258
"33"	"9033"	"M"	"CZ16"	"CZ"	24	63.4	164.9	3.68539
"34"	"9040"	"M"	"CZ16"	"CZ"	21	72.2	177.9	3.39326
"35"	"9042"	"M"	"CZ16"	"CZ"	21	77.2	185	2.10112
"36"	"9043"	"M"	"CZ16"	"CZ"	21	72.5	177.1	2.1573
"37"	"9050"	"M"	"CZ16"	"CZ"	23	89	186.6	2.83146
"38"	"9052"	"M"	"CZ16"	"CZ"	24	60.3	177.8	4.06742
"39"	"9053"	"M"	"CZ16"	"CZ"	20	64.6	180.7	3.98876
"40"	"9060"	"M"	"CZ16"	"CZ"	22	65.7	183.4	3.44944
"41"	"9062"	"M"	"CZ16"	"CZ"	29	100	200.4	2.8764
"42"	"9063"	"M"	"CZ16"	"CZ"	23	67.1	170	3.42697
"43"	"9070"	"M"	"CZ16"	"CZ"	34	62.2	163.3	1.60674
"44"	"9072"	"M"	"CZ16"	"CZ"	28	88.5	185	5.50562
"45"	"9073"	"M"	"CZ16"	"CZ"	22	74.9	188	2.76404
"46"	"9082"	"M"	"CZ16"	"CZ"	19	61.9	174.5	2.94382
"47"	"9083"	"M"	"CZ16"	"CZ"	20	82.5	184.8	1.85393
"48"	"9102"	"M"	"CZ16"	"CZ"	21	69.1	176	3.69663
"49"	"9112"	"M"	"CZ16"	"CZ"	32	72.9	178.4	1.7191
"0"	"22"	"F"	"TUR"	"TR"	20	45	160	1.885245902
"1"	"23"	"F"	"TUR"	"TR"	20	40	152	1.634920635
"2"	"29"	"F"	"TUR"	"TR"	20	65	170	2
"3"	"33"	"F"	"TUR"	"TR"	21	57	170	4.107142857
"4"	"37"	"F"	"TUR"	"TR"	20	57	159	4.515625
"5"	"39"	"F"	"TUR"	"TR"	20	48	168	3.322580645
"6"	"43"	"F"	"TUR"	"TR"	20	53	160	4.410714286
"7"	"46"	"F"	"TUR"	"TR"	20	53	158	4.15
"8"	"47"	"F"	"TUR"	"TR"	21	55	160	2.540983607
"9"	"53"	"F"	"TUR"	"TR"	20	46	163	2.192982456
"10"	"61"	"F"	"TUR"	"TR"	20	48	160	3.462962963
"11"	"62"	"F"	"TUR"	"TR"	20	68	175	2.102941176
"12"	"65"	"F"	"TUR"	"TR"	21	66	165	1.65
"13"	"66"	"F"	"TUR"	"TR"	20	45	160	4.532258065
"14"	"69"	"F"	"TUR"	"TR"	21	48	158	2.620689655
"15"	"73"	"F"	"TUR"	"TR"	20	48	168	2.298245614
"16"	"74"	"F"	"TUR"	"TR"	25	NA	NA	2.203389831
"17"	"76"	"F"	"TUR"	"TR"	23	NA	NA	1.516666667
"18"	"91"	"F"	"TUR"	"TR"	22	NA	NA	2.450980392
"19"	"92"	"F"	"TUR"	"TR"	20	NA	NA	3.49122807
"20"	"95"	"F"	"TUR"	"TR"	21	NA	NA	2.416666667
"21"	"98"	"F"	"TUR"	"TR"	24	NA	NA	4.879310345
"22"	"99"	"F"	"TUR"	"TR"	21	NA	NA	2.236363636
"23"	"102"	"F"	"TUR"	"TR"	23	NA	NA	4.118644068
"24"	"104"	"F"	"TUR"	"TR"	22	NA	NA	3.789473684
"25"	"105"	"F"	"TUR"	"TR"	25	NA	NA	2.964912281
"26"	"110"	"F"	"TUR"	"TR"	23	NA	NA	2.559322034
"27"	"111"	"F"	"TUR"	"TR"	21	NA	NA	3.389830508
"28"	"115"	"F"	"TUR"	"TR"	21	58	162	3.140350877
"29"	"116"	"F"	"TUR"	"TR"	20	58	167	3.727272727
"30"	"120"	"F"	"TUR"	"TR"	20	57	163	3.203389831
"31"	"131"	"F"	"TUR"	"TR"	25	NA	NA	2.625
"32"	"132"	"F"	"TUR"	"TR"	21	64	171	4.058823529
"33"	"135"	"F"	"TUR"	"TR"	20	50	164	1.838709677
"34"	"137"	"F"	"TUR"	"TR"	20	73	167	2.779661017
"35"	"138"	"F"	"TUR"	"TR"	21	NA	NA	4.931034483
"36"	"139"	"F"	"TUR"	"TR"	22	NA	NA	3.590163934
"37"	"151"	"F"	"TUR"	"TR"	23	NA	NA	4.241935484
"38"	"152"	"F"	"TUR"	"TR"	24	NA	NA	2.13559322
"39"	"153"	"F"	"TUR"	"TR"	21	61	168	2.633333333
"40"	"154"	"F"	"TUR"	"TR"	22	61	170	4.133333333
"41"	"155"	"F"	"TUR"	"TR"	20	NA	NA	2.357142857
"42"	"156"	"F"	"TUR"	"TR"	21	44	163	2.435483871
"43"	"158"	"F"	"TUR"	"TR"	24	NA	NA	1.741935484
"44"	"164"	"F"	"TUR"	"TR"	21	NA	NA	3.655172414
"45"	"170"	"F"	"TUR"	"TR"	21	NA	NA	3.5
"46"	"176"	"F"	"TUR"	"TR"	20	69	177	2.593220339
"47"	"178"	"F"	"TUR"	"TR"	19	64	177	3.296296296
